produto,preco,data_hora,posicao,asin
"Notebook Gamer Alienware Aurora AC16-C5210H-D10 - Intel Core 5, NVIDIA RTX 3050, 16GB RAM, 512GB SSD, LED Full HD 120Hz, Linux",5849.0,2025-09-14 16:40:28,1,B0FPHKN1JL
"Notebook Gamer Dell G15-i1300-D35P 15.6"" FHD 13ª Geração Intel Core i5 16GB 512GB SSD NVIDIA RTX 3050 Linux",6570.45,2025-09-14 16:40:28,2,B0DTVY4Z39
"Notebook Dell Inspiron 15.6"" Full HD Intel Core 3-100U 8GB 512GB SSD Linux Preto Carbono I15-I3100-U15P",2699.0,2025-09-14 16:40:28,3,B0FHM47Q3X
"Notebook Dell Inspiron I15-I1300-M50P 15.6"" Full HD 13ª Gen Intel Core i5 16GB 512GB SSD Win 11 Preto Carbono",3899.0,2025-09-14 16:40:28,4,B0CWPKYV51
"Notebook ASUS Vivobook GO 15, Intel Celeron Dual Core N4500, 4 GB, 128 GB SSD W11 Home, 15,60"" LED, Star Black - E510KA-BR808WS",1661.56,2025-09-14 16:40:28,5,B0DD64K4MP
"Notebook ASUS Vivobook GO 15, Intel Celeron Dual Core N4500, 4 GB, 128 GB SSD, W11 Home, 15,60"" LED, Rose Pink - E510KA-BR833WS",1626.57,2025-09-14 16:40:28,6,B0DD64JXK1
"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 512GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ732",2464.15,2025-09-14 16:40:28,7,B0CYW2N6TX
"Notebook Lenovo IdeaPad 1i Intel Celeron + Microsoft 365 Personal 4GB 128GB SSD W11 15.6"" 82QH0007BR",1804.05,2025-09-14 16:40:28,8,B0DGHKY4LJ
"Notebook ASUS Vivobook 15, Intel Core i5, 16 GB, 512 GB SSD W11 Home, 15.6'' FHD, Quiet Blue -X1504VA-NJ1745W",3313.46,2025-09-14 16:40:28,9,B0F4M66XWL
"Notebook Dell Inspiron I15-I120K-A15P 15.6"" Full HD 12ª Geração Intel Core i3 8GB 512GB SSD Windows 11 Preto",2999.0,2025-09-14 16:40:28,10,B0DCLBBWLV
"Notebook Lenovo Ultrafino IdeaPad 1 Intel Core i3-1215U 8GB 256GB SSD Windows Home 15.6"" 82VY000SBR Cloud Grey",2454.27,2025-09-14 16:40:28,11,B0CM8LZFXB
"Notebook Dell Inspiron I15-I120K-A25P 15.6"" Full HD 12ª Geração Intel Core i5 8GB 512GB SSD Windows 11 Preto",3254.24,2025-09-14 16:40:28,12,B0DCKWYRQ6
"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 256GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ731",2379.15,2025-09-14 16:40:28,13,B0CYVVRSSZ
"Notebook Positivo Duo 2 em 1 Intel Celeron Windows 11 Home 4GB 128GB, Tela 11.6"" IPS HD, Cinza - C4128B-3",1385.0,2025-09-14 16:40:28,14,B0BZ8Y9QV9
"Notebook Lenovo Ideapad 1i Intel Core i5-1235U 8GB 512GB SSD 15.6"" W11",2999.0,2025-09-14 16:40:28,15,B0CK3R8JYG
"Notebook, Windows 11 Home, Tela 15,6 Pol HD, Celeron N4020C, Memória 4GB/128GB, Microsoft 365, Ultra - UB261",1399.9,2025-09-14 16:40:28,16,B0CV4J2JS3
"Notebook Lenovo IdeaPad 1i i5-1235U 8GB 256GB 15.6"" W11",2999.0,2025-09-14 16:40:28,17,B0DCLZRN7W
"Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 4GB, 128GB SSD, W11 Home, Tela 15.6"" FHD Cool Silver - E1504GA-NJ440W",2169.0,2025-09-14 16:40:28,18,B0CYVJHL3N
"Notebook ASUS X515 Celeron Dual Core, 4 GB, 128 GB SSD, W11 Home, 15,60"" LED, Slate Grey - X515KA-BR309WS",1699.15,2025-09-14 16:40:28,19,B0DKG8SG8V
Notebook Acer Aspire5 A515-45-R36L AMD Ryzen7 5700U 12GB RAM (AMD Radeon) 512GB SSD 15.6” LED IPS Full HD Prata Teclado numérico Independente Linux Gutta,3099.0,2025-09-14 16:40:28,20,B0B8YW587B
