produto,preco,data_hora,posicao,asin
"Volante e Pedais Logitech G29 Driving Force com Force Feedback para PS5, PS4, PS3 e PC",1803.24,2025-09-13 17:44:53,1,B017RBNOI4
"Volante Logitech G923 para PS5, PS4 e PC com Force Feedback TRUEFORCE, Pedais Responsivos, Launch Control e Acabamento em Couro",2630.0,2025-09-13 17:44:53,2,B08F7DBTRX
Controle de Jogos com fio Logitech F310 para PC e TV,170.91,2025-09-13 17:44:53,3,B003VAHYQY
"Volante Logitech G923 para Xbox Series X|S, Xbox One e PC com Force Feedback TRUEFORCE, Pedais Responsivos, Launch Control e Acabamento em Couro",2656.26,2025-09-13 17:44:53,4,B08F7FKQ8P
Mini Console Retro Super Nintendo com 130 mil jogos + 2 Controles Super 3D Games,299.0,2025-09-13 17:44:53,5,B0B59YX7JJ
"Console de jogos portátil retrô, console de videogame R36S com 15.000+ jogos, sistema Linux, tela IPS de 3,5 polegadas, reprodutor de vídeo de bolso com cartão TF 64GB - Preto",237.99,2025-09-13 17:44:53,6,B0CS1RGW47
PlayStation®5 Slim Digital -Pacote ASTRO BOT e Gran Turismo 7,3599.99,2025-09-13 17:44:53,7,B0F7Z9F9SD
"Nintendo, Console + Jogo, Switch OLED Branco, Jogo Digital Mario Kart 8 Deluxe, 3 Meses de Assinatura Nintendo Switch Online",2271.57,2025-09-13 17:44:53,8,B0D9WTRLTB
"Nintendo, Console + Jogo, Switch Azul e Vermelho, Jogo Digital Mario Kart 8 Deluxe, 3 Meses de Assinatura Nintendo Switch Online",1999.0,2025-09-13 17:44:53,9,B09NK8J76T
"Nintendo, Console, Nintendo Switch Lite, Portátil, Tela de 5,5 Polegadas, Leve e Compacto, 32GB de Armazenamento, Controles Embutidos, Bateria de até 7 horas, Compatível com Jogos do Nintendo Switch, Azul",1319.9,2025-09-13 17:44:53,10,B09JWLJMNR
"Console de Jogos Portátil X7 Plus + de 1.000 Jogos + Fone de ouvido Cartão de Memória 8GB Console de Video Game Portátil de 5,1 polegadas - YODHE",173.99,2025-09-13 17:44:53,11,B0D8VLMQWR
Mini Console Retro Gamer Super Nintendo com 130 mil Jogos Mais 2 Controles Super 3D Games,309.0,2025-09-13 17:44:53,12,B0DH9MSF35
Console Xbox Series S,3039.0,2025-09-13 17:44:53,13,B08JN2VMGX
"Neo Geo Mini Arcade Game Console, 4.3-inch Display, Joystick and Buttons",592.14,2025-09-13 17:44:53,14,B0DRHYR931
"Console Retrô PSX com 93 mil jogos + 2 Controles diversos Games e Jogos + 700 Jogos PS1 (Black, Controles com fio)",269.91,2025-09-13 17:44:53,15,B0D2JHHYWD
Mini Console Retro Super 3D Games com 130 mil jogos + 2 Controles - Super 3D Games,289.0,2025-09-13 17:44:53,16,B0B5B3CBRS
Console Playstatiton 4 1tb Slim + Controle Dualshock 4 CUH2214B - Sony,,2025-09-13 17:44:53,17,B07ZGH5CBL
"Console de jogos portátil retrô, console de videogame R36S de código aberto, sistema Linux, tela IPS de 3,5 polegadas, reprodutor de vídeo de bolso portátil com cartão TF 64G / 128G / 316 ( Color : Pu",225.5,2025-09-13 17:44:53,18,B0CS219K4V
"Nintendo, Console, Nintendo Switch 2, Nacional, Portátil e Doméstico, Bateria de até 9 Horas, Inclui Joy-Con com Suporte e Alças, 1 ano de Garantia - Modelo Nacional de Tomada",4471.96,2025-09-13 17:44:53,19,B0F6D7MQQB
Console Retrô PSX com 40 mil jogos + 2 Controles diversos Games e Jogos+ 700 Jogos PS1 - Black (Black),248.31,2025-09-13 17:44:53,20,B0DT4WSCMJ
