produto,preco,data_hora,posicao,asin
"Secadora de Roupas de Piso, 12kg Wanke, Comfort Branca 220V",2199.9,2025-09-13 17:44:53,1,B0D7JXRH7Y
"Secador de roupas, Mini Secador para Roupas, Secadora de Roupas, Secador, Secador Portatil, com Função de Temporizador e 2 Níveis de Aquecimento, Design de Tensão Ampla, Adequado para 110V ~ 220V",239.9,2025-09-13 17:44:53,2,B0DPZTZ5TK
Secador Mondial Ultra Sonic By Juliette BLDC com Cabo Dobrável 127V - SCP-JU-04-US,899.9,2025-09-13 17:44:53,3,B0FB9MV2KQ
"GOKOCO Secador de Cabelo 5 em 1 Conjunto, Escova Secadora 1400W Alta Velocidade 110000 Rpm, Kit Modelador Liso e Cacheado com Bocal Magnético Compatível com 110v e 127v, Prata",503.49,2025-09-13 17:44:53,4,B0F1G7HG66
FISCHER SECADORA DE ROUPAS SUPER CICLO 8KG BRANCA 220V 28200-63976,436.05,2025-09-13 17:44:53,5,B08BJC798H
Secadora de Roupa Mueller Solaris 8Kg 220V,549.9,2025-09-13 17:44:53,6,B07Q6LVF9J
Secadora Piso Brastemp 10Kg - BSR10BB 220V,2471.6,2025-09-13 17:44:53,7,B0C6B2H1NB
"MUELLER Secadora de Roupa Sun 8Kg 127V, Secadora de Roupa Sun 8 Kg - 110 V",436.9,2025-09-13 17:44:53,8,B07Q5L59RG
Secadora de Roupas Brastemp Suspensa 10kg Branca Bsi10bb - 220,2574.9,2025-09-13 17:44:53,9,B0C46VHZ8G
Secador De Roupas Portátil Elétrico Aquecedor Varal Dobráve 220V,159.0,2025-09-13 17:44:53,10,B0FH7JKCPJ
Secadora Samsung 12Kg DV12B Branca 220V DV12B6800EW/AZ,4094.01,2025-09-13 17:44:53,11,B0C2JPM6PH
"Secador de Roupas Elétrico Portátil 110V, Compacto e Leve",189.99,2025-09-13 17:44:53,12,B0FDL688ZM
FISCHER SECADORA DE ROUPAS SUPER CICLO 8KG BLACK 220V - 28200-100531,529.17,2025-09-13 17:44:53,13,B0DZF6QWN2
"Secadora de Roupas de Piso, 12kg Wanke, Comfort Branca 220V",2199.9,2025-09-13 17:44:53,14,B0D7JXRH7Y
"Secadora de Roupas 10Kg Latina SR555, Branca, Aquecedor de ambiente, 220V",790.9,2025-09-13 17:44:53,15,B07DTJX1VH
Secadora de Roupas 8kg Solaris 600008003 Branca - Mueller - 220V,525.9,2025-09-13 17:44:53,16,B0778P3QP8
Secadora de Roupas Philco 11kg branca de piso PSC11B 127V,2866.3,2025-09-13 17:44:53,17,B08DJYWQCW
"Secadora de Roupa, 110V, 1500W, Secadora de Roupas, Secador de Roupa, Máquina de Secar Roupa, Secadora de Roupas Super",699.99,2025-09-13 17:44:53,18,B0DS478WS4
Secadora de Roupas Eos Heat Pump 12kg Esr12cb 220v,3199.0,2025-09-13 17:44:53,19,B0F555S5D6
Praxis Secadora de Roupas Portátil 5kg 220v Branca,419.9,2025-09-13 17:44:53,20,B0D39T22MT
