produto,preco,data_hora,posicao,asin
FVBADE 【40000 in 1 V40 MAX Handheld Game Console 4 inch IPS Screen Mini Retro Console 4000mAh Portable Pocket Arcade 45+ Mainstream Emulator 256G TF Card Transparent(Green),596.08,2025-09-14 16:40:28,1,B0F43JMXSS
FVBADE 【30000 in 1 V40 PRO Handheld Game Console 3.5 inch IPS Screen Mini Retro Console 3800mAh Portable Pocket Arcade 45+ Mainstream Emulator 256G TF Card Transparent(Black),469.47,2025-09-14 16:40:28,2,B0F442TZP6
FVBADE 【35000 in 1 V40 PRO Handheld Game Console 3.5 inch IPS Screen Mini Retro Console 3800mAh Portable Pocket Arcade 45+ Mainstream Emulator 256G TF Card Transparent(White),430.77,2025-09-14 16:40:28,3,B0F43F8R84
FVBADE 【35000 in 1 V40 PRO Handheld Game Console 3.5 inch IPS Screen Mini Retro Console 3800mAh Portable Pocket Arcade 45+ Mainstream Emulator 256G TF Card Transparent(Blue),413.68,2025-09-14 16:40:28,4,B0F42PVHB2
Mini Console Retro Super Nintendo com 130 mil jogos + 2 Controles Super 3D Games,299.0,2025-09-14 16:40:28,5,B0B59YX7JJ
"Console de jogos portátil retrô, console de videogame R36S com 15.000+ jogos, sistema Linux, tela IPS de 3,5 polegadas, reprodutor de vídeo de bolso com cartão TF 64GB - Preto",237.99,2025-09-14 16:40:28,6,B0CS1RGW47
PlayStation®5 Slim Digital -Pacote ASTRO BOT e Gran Turismo 7,3633.08,2025-09-14 16:40:28,7,B0F7Z9F9SD
"Nintendo, Console + Jogo, Switch OLED Branco, Jogo Digital Mario Kart 8 Deluxe, 3 Meses de Assinatura Nintendo Switch Online",2252.06,2025-09-14 16:40:28,8,B0D9WTRLTB
"Nintendo, Console + Jogo, Switch Azul e Vermelho, Jogo Digital Mario Kart 8 Deluxe, 3 Meses de Assinatura Nintendo Switch Online",1999.0,2025-09-14 16:40:28,9,B09NK8J76T
"Nintendo, Console, Nintendo Switch Lite, Portátil, Tela de 5,5 Polegadas, Leve e Compacto, 32GB de Armazenamento, Controles Embutidos, Bateria de até 7 horas, Compatível com Jogos do Nintendo Switch, Azul",1319.9,2025-09-14 16:40:28,10,B09JWLJMNR
Mini Console Retro Gamer Super Nintendo com 130 mil Jogos Mais 2 Controles Super 3D Games,262.0,2025-09-14 16:40:28,11,B0DH9MSF35
Console Xbox Series S,3040.0,2025-09-14 16:40:28,12,B08JN2VMGX
"Console de Jogos Portátil X7 Plus + de 1.000 Jogos + Fone de ouvido Cartão de Memória 8GB Console de Video Game Portátil de 5,1 polegadas - YODHE",173.99,2025-09-14 16:40:28,13,B0D8VLMQWR
"Neo Geo Mini Arcade Game Console, 4.3-inch Display, Joystick and Buttons",592.14,2025-09-14 16:40:28,14,B0DRHYR931
"Console Retrô PSX com 93 mil jogos + 2 Controles diversos Games e Jogos + 700 Jogos PS1 (Black, Controles com fio)",269.91,2025-09-14 16:40:28,15,B0D2JHHYWD
Mini Console Retro Super 3D Games com 130 mil jogos + 2 Controles - Super 3D Games,289.0,2025-09-14 16:40:28,16,B0B5B3CBRS
Reprodutor remoto PlayStation Portal™,1342.28,2025-09-14 16:40:28,17,B0D2DPR628
"Console de jogos portátil retrô, console de videogame R36S de código aberto, sistema Linux, tela IPS de 3,5 polegadas, reprodutor de vídeo de bolso portátil com cartão TF 64G / 128G / 316 ( Color : Pu",247.9,2025-09-14 16:40:28,18,B0CS219K4V
Console Playstatiton 4 1tb Slim + Controle Dualshock 4 CUH2214B - Sony,,2025-09-14 16:40:28,19,B07ZGH5CBL
"R36S Console de Jogos Portátil Retrô, Tela 3,5 Polegadas, 64GB de Memória",225.5,2025-09-14 16:40:28,20,B0FF3GSH2C
