produto,preco,data_hora,posicao,asin
Apple iPhone 16 Pro (128 GB) – Titânio preto,7649.1,2025-09-14 16:43:51,1,B0DGMH7J54
Apple iPhone 13 (128 GB) - Meia-noite,3239.1,2025-09-14 16:43:51,2,B09T55NFSR
Apple iPhone 16 (128 GB) – Preto,4650.07,2025-09-14 16:43:51,3,B0DJFTJ6LX
Apple iPhone 16 Pro Max (256 GB) – Titânio-deserto,8549.1,2025-09-14 16:43:51,4,B0DGMCHV9X
"Smartphone Motorola Moto g05-128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Cinza",566.08,2025-09-14 16:43:51,5,B0DQRHP79Z
"Smartphone Samsung Galaxy A06 128GB, 4GB RAM, Processador Octa-Core, Bateria de 5000mAh, Tela Infinita de 6.7"", Câmera Traseira Dupla, Dual Chip - Branco",585.0,2025-09-14 16:43:51,6,B0DGHZBC6N
Smartphone Xiaomi Poco C75 NFC Black (Preto) 8GB RAM 256GB ROM [2410FPCC5G],790.0,2025-09-14 16:43:51,7,B0DL4831YZ
Smartphone Xiaomi Redmi Note 14 Midnight Black (Preto) 8GB RAM 256GB ROM,1030.0,2025-09-14 16:43:51,8,B0DT5LHPMX
"Smartphone Samsung Galaxy A05s 6,7 Tela Infinita 128GB + 6GB RAM Tela Infinita de 6.7"" 50MP + 2MP + 2MP, Processador Octa-Core, Bateria de longa duração - Prata",699.0,2025-09-14 16:43:51,9,B0DDTZC5NW
"Smartphone Motorola Moto g15-256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI e Night Vision Bateria de 5200 mAh Tela FHD+ 6.7"" com Superbrilho NFC - Verde",775.67,2025-09-14 16:43:51,10,B0DQQCNBRR
Smartphone Samsung Galaxy A15 4G 128GB - Azul Claro,799.0,2025-09-14 16:43:51,11,B0CRWQKMND
"Smartphone Realme Note 60x RMX3938 3 GB de RAM/ 64 GB/Bateria de 5000mAh e tela de 6,74"" 90Hz HD/Midnight Black (Preto)",549.0,2025-09-14 16:43:51,12,B0DXL3NSCQ
"Celular Samsung Galaxy A16, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh - Preto",1106.75,2025-09-14 16:43:51,13,B0DNRDH5KJ
"Smartphone Motorola Moto g35 5G - 128GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Verde",825.55,2025-09-14 16:43:51,14,B0DHWFBYVC
"Smartphone Xiaomi Redmi A5 128GB 4GB RAM Dual SIM Tela 6.88"" - Preto Midnight Black [25028RN03L]",608.89,2025-09-14 16:43:51,15,B0F3J3V6KX
"Samsung Celular Galaxy A05s 128GB, 6GB RAM, Tela Infinita de 6.7"" - Preto",751.56,2025-09-14 16:43:51,16,B0D47QT9TJ
"Smartphone Motorola Moto g35 5G - 256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Cinza Vegan Leather",999.0,2025-09-14 16:43:51,17,B0DHWF5G76
"Galaxy M15 5G, 6.000mAh, Câmera Tripla até 50MP, 128GB - Azul Claro",849.0,2025-09-14 16:43:51,18,B0CZ592LD4
"Xiaomi Smartphone POCO M7 Pro 5G 256GB | 8GB/12GB RAM | Processador Ultra Potente Dimensity 7025 | Tela AMOLED FHD+ 120Hz com Proteção Ocular | Bateria 5110mAh com 45W Turbo Charge (Verde, 8+256GB)",1219.0,2025-09-14 16:43:51,19,B0F3JHM2FQ
"Samsung Celular Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7"", NFC (Preto)",,2025-09-14 16:43:51,20,B0F29YZ3MF
